1열,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
AS_EnemyAttributeSetBase.MaxHealth,200000,0,200000,,FALSE
AS_EnemyAttributeSetBase.Health,200000,0,200000,,FALSE
AS_EnemyAttributeSetBase.Attack,300,50,300,,FALSE
AS_EnemyAttributeSetBase.MovementSpeed,500,10,500,,FALSE
AS_EnemyAttributeSetBase.AttackSpeed,1,0.1,1,,FALSE
AS_EnemyAttributeSetBase.AttackRange,400,400,400,,FALSE
AS_EnemyAttributeSetBase.Gold,0,0,0,,FALSE
AS_EnemyAttributeSetBase.Exp,0,0,0,,FALSE
AS_EnemyAttributeSetBase.Damage,0,0,10000,,FALSE
AS_EnemyAttributeSetBase.Vulnerable,0,0,1,,FALSE
AS_EnemyAttributeSetBase.CoreAttack,500,0,500,,FALSE
AS_EnemyAttributeSetBase.DropPercent,1,0,1,,FALSE
