1열,BaseValue,MinValue,MaxValue,DerivedAttributeInfo,bCanStack
AS_EnemyAttributeSetBase.MaxHealth,700,0,700,,FALSE
AS_EnemyAttributeSetBase.Health,700,0,700,,FALSE
AS_EnemyAttributeSetBase.Attack,70,0,70,,FALSE
AS_EnemyAttributeSetBase.MovementSpeed,400,10,300,,FALSE
AS_EnemyAttributeSetBase.AttackSpeed,1,0.1,1,,FALSE
AS_EnemyAttributeSetBase.AttackRange,300,300,300,,FALSE
AS_EnemyAttributeSetBase.Gold,10,0,5,,FALSE
AS_EnemyAttributeSetBase.Exp,0,0,0,,FALSE
AS_EnemyAttributeSetBase.Damage,0,0,700,,FALSE
AS_EnemyAttributeSetBase.Vulnerable,0,0,1,,FALSE
AS_EnemyAttributeSetBase.CoreAttack,70,0,70,,FALSE
AS_EnemyAttributeSetBase.DropPercent,0.1,0,1,,FALSE
